custom_id,gt_cmd,matched_key,title,metapackages,total_score,kali-tools-information-gathering,kali-tools-802-11,kali-tools-rfid,kali-tools-bluetooth,kali-tools-sdr,kali-tools-social-engineering,kali-tools-vulnerability,kali-tools-fuzzing,kali-tools-web,kali-tools-database,kali-tools-voip,kali-tools-exploitation,kali-tools-sniffing-spoofing,kali-tools-hardware,kali-tools-wireless,kali-tools-post-exploitation,kali-tools-passwords,kali-tools-windows-resources,kali-tools-crypto-stego,kali-tools-reverse-engineering,kali-tools-forensics,kali-tools-reporting,kali-tools-gpu
row-1,faraday-manage,faraday-manage,python-faraday,kali-tools-reporting,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
row-2,faraday-manage sync-hosts-stats,faraday,python-faraday,kali-tools-reporting,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
row-3,faraday-server --help,faraday,python-faraday,kali-tools-reporting,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
row-4,faraday-start-all,faraday-start-all,python-faraday,kali-tools-reporting,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
row-5,faraday-worker --concurrency 4 --loglevel INFO --queue tasks,faraday,python-faraday,kali-tools-reporting,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
row-6,scalpel --config scalpel.conf --preview backup.img,scalpel,scalpel,kali-tools-forensics,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row-7,impacket-esentutl --help,impacket,impacket,"kali-tools-exploitation,kali-tools-forensics,kali-tools-information-gathering,kali-tools-passwords,kali-tools-social-engineering,kali-tools-vulnerability,kali-tools-web",0.6666666666666666,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
row-8,impacket-getPac --debug --targetUser alice example.com/admin:password123,impacket,impacket,"kali-tools-exploitation,kali-tools-forensics,kali-tools-information-gathering,kali-tools-passwords,kali-tools-social-engineering,kali-tools-vulnerability,kali-tools-web",0.5,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
row-9,apktool d 'Facebook Lite_v121.0.0.8.97_apkpure.com.apk',,,,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row-10,lsusb --verbose,lsusb,usbutils,"kali-tools-802-11,kali-tools-exploitation,kali-tools-sniffing-spoofing,kali-tools-social-engineering,kali-tools-wireless",0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
row-11,impacket-scripts/impacket-ping6 ::1 ::1,impacket-scripts,impacket-scripts,"kali-tools-information-gathering,kali-tools-vulnerability",0.26666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row-12,usb-devices,usb-devices,usbutils,"kali-tools-802-11,kali-tools-exploitation,kali-tools-sniffing-spoofing,kali-tools-social-engineering,kali-tools-wireless",1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
row-13,impacket-sambaPipe --so payload.so admin@192.168.1.10,impacket,impacket,"kali-tools-exploitation,kali-tools-forensics,kali-tools-information-gathering,kali-tools-passwords,kali-tools-social-engineering,kali-tools-vulnerability,kali-tools-web",0.5,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
